member_name,model_name,dataset_name,composite_score,fidelity,utility,diversity,privacy,consistency,stability
trang,tabfairgdt,car,0.846,0.9859,0.888,0.999,0.4515,0.7204,0.981
trang,tabfairgdt,card,0.9082,0.9889,0.9912,0.9968,0.9873,0.1637,0.9985
trang,tabfairgdt,covtype,0.7493,0.9957,0.8867,0.6691,0.0,0.7331,0.997
trang,tabpfgen,adult,0.8911,0.9835,1.0,0.9588,0.8752,0.681,0.0
trang,tabpfgen,bank,0.8792,0.9879,1.0,0.9917,0.9004,0.4797,0.0
trang,tabpfgen,car,0.9164,0.9517,1.0,0.998,1.0,0.7868,0.0
trang,tabpfgen,card,0.5428,0.9859,0.0,0.9976,0.9377,0.5594,0.0
trang,tabpfgen,covtype,0.8542,0.9956,1.0,0.7105,0.7875,0.6607,0.0
mohit,ctgan,adult,0.3998,0.6119,0.0,0.3669,0.9947,0.1179,0.982
mohit,ctgan,bank,0.7771,0.744,0.812,0.8333,0.9687,0.3137,0.9375
mohit,ctgan,car,0.6229,0.7446,0.4809,0.96,0.5113,0.3489,0.9665
mohit,ctgan,card,0.2927,0.7831,0.0,0.5603,0.0,0.0,0.8185
mohit,ctgan,covtype,0.2619,0.5526,0.0,0.7668,0.0,0.0,0.942
mohit,cwgangp,adult,0.574,0.6283,0.798,0.3343,0.0,0.5495,0.9845
mohit,cwgangp,bank,0.5393,0.6772,0.7703,0.4215,0.0,0.0873,0.9895
mohit,cwgangp,car,0.5096,0.412,0.7927,0.2911,0.3333,0.0007,1.0
mohit,cwgangp,card,0.3827,0.886,0.0,0.617,0.0,0.5,0.99
mohit,cwgangp,covtype,0.2837,0.6001,0.0,0.3486,0.0,0.5,0.9765
mohit,privbayes,adult,0.8313,0.9964,0.9874,0.9639,0.0,0.9055,0.9935
mohit,privbayes,bank,0.8316,0.984,0.9923,0.9575,0.0,0.9357,0.98
mohit,privbayes,car,0.8392,0.9865,0.8575,0.999,0.4568,0.749,0.983
mohit,privbayes,card,0.5937,0.9608,0.0,0.8875,0.7894,0.9916,0.943
mohit,privbayes,covtype,0.843,0.9895,0.7569,0.6771,0.9827,0.6582,0.9955
mohit,tabebm,adult,0.7925,0.9503,0.9372,0.8769,0.4087,0.2958,0.966
mohit,tabebm,bank,0.8306,0.9853,0.994,0.9559,0.3531,0.3987,0.959
mohit,tabebm,car,0.8787,0.9864,0.9885,0.9994,0.3333,0.8705,0.9835
mohit,tabebm,card,0.8594,0.9945,0.9781,0.9059,0.4374,0.6533,0.9385
mohit,tabebm,covtype,0.7743,0.9946,0.8142,0.6742,0.6073,0.3288,0.986
neeyati,ctgan,adult,0.3936,0.591,0.008,0.3391,0.9951,0.1326,0.9885
neeyati,ctgan,bank,0.7384,0.8116,0.673,0.8716,0.9644,0.2492,0.8635
neeyati,ctgan,car,0.4738,0.7575,0.006,0.8817,0.9961,0.08,0.9375
neeyati,ctgan,card,0.6229,0.7946,0.4809,0.96,0.5115,0.3489,0.9665
neeyati,ctgan,covtype,0.3178,0.3836,0.9288,0.2398,0.808,0.0,0.9598
neeyati,meg,adult,0.6479,0.5995,0.7418,0.3688,0.9377,0.1648,0.887
neeyati,meg,bank,0.6622,0.7268,0.7039,0.589,0.9858,0.0,0.547
neeyati,meg,car,0.5743,0.731,0.628,0.9026,0.3401,0.16,0.2885
neeyati,meg,card,0.5475,0.7401,0.5831,0.0833,1.0,0.0,0.0
neeyati,meg,covtype,0.3492,0.2915,0.2301,0.2472,1.0,0.0,0.4205
neeyati,pategan,adult,0.8754,0.9622,0.9114,0.8842,0.9935,0.6128,0.9786
neeyati,pategan,bank,0.8647,0.955,0.9326,0.9011,0.8894,0.5902,0.9798
neeyati,pategan,car,0.7429,0.8915,0.8012,0.9234,0.7011,0.4882,0.9825
neeyati,pategan,card,0.7913,0.9448,0.7458,0.8122,0.9908,0.5235,0.9885
neeyati,pategan,covtype,0.8268,0.9583,0.7841,0.7317,0.9958,0.6128,0.9918
Trinh,ctabganplus,adult,0.844,0.9426,0.9147,0.8927,0.8072,0.2952,0.9675
Trinh,ctabganplus,bank,0.8696,0.9701,0.9275,0.9727,0.8434,0.295,0.9849
Trinh,ctabganplus,car,0.4989,0.6867,0.3226,0.8672,0.466,0.1136,0.9265
Trinh,ctabganplus,card,0.8911,0.9785,0.9176,0.9274,0.9934,0.3664,0.9795
Trinh,ctabganplus,covtype,0.7833,0.9827,0.7218,0.6564,0.9238,0.3166,0.9945
Trinh,ganblr,adult,0.8332,0.728,0.8884,0.8985,0.987,0.5304,0.9855
Trinh,ganblr,bank,0.8686,0.7882,0.9289,0.898,0.984,0.5941,0.9935
Trinh,ganblr,car,0.7669,0.9406,0.7772,0.994,0.4655,0.4146,0.98
Trinh,ganblr,card,0.8878,0.8641,0.9854,0.753,0.9949,0.5297,0.9875
Trinh,ganblr,covtype,0.7147,0.833,0.6297,0.5361,0.9987,0.3333,0.9865
Trinh,meg,adult,0.5534,0.633,0.535,0.3956,0.9157,0.0,0.62
Trinh,meg,bank,0.6984,0.6413,0.8326,0.512,0.9763,0.1328,0.7145
Trinh,meg,car,0.6115,0.7643,0.5559,0.8771,0.6102,0.3589,0.2155
Trinh,meg,card,0.4492,0.398,0.5442,0.0916,1.0,0.0,0.0
Trinh,meg,covtype,0.3884,0.3729,0.2395,0.3676,1.0,0.0,0.434
